name,position,points,market_value,club
Ulreich,Torwart,0.0,170000.0,FC Bayern Muenchen
R. Hoffmann,Torwart,0.0,160000.0,FC Bayern Muenchen
Früchtl,Torwart,0.0,160000.0,FC Bayern Muenchen
Lucas Hernández,Abwehr,19.0,3900000.0,FC Bayern Muenchen
Davies,Abwehr,85.0,7740000.0,FC Bayern Muenchen
Mai,Abwehr,0.0,170000.0,FC Bayern Muenchen
Pavard,Abwehr,103.0,6650000.0,FC Bayern Muenchen
Kimmich,Abwehr,156.0,16560000.0,FC Bayern Muenchen
Álvaro Odriozola,Abwehr,4.0,1750000.0,FC Bayern Muenchen
Süle,Abwehr,34.0,5420000.0,FC Bayern Muenchen
J. Boateng,Abwehr,35.0,2760000.0,FC Bayern Muenchen
Alaba,Abwehr,87.0,6620000.0,FC Bayern Muenchen
Singh,Mittelfeld,1.0,210000.0,FC Bayern Muenchen
Coutinho,Mittelfeld,125.0,7520000.0,FC Bayern Muenchen
Goretzka,Mittelfeld,59.0,7450000.0,FC Bayern Muenchen
Tolisso,Mittelfeld,40.0,1220000.0,FC Bayern Muenchen
Cuisance,Mittelfeld,2.0,180000.0,FC Bayern Muenchen
Javi Martínez,Mittelfeld,27.0,1840000.0,FC Bayern Muenchen
Thiago Alcântara,Mittelfeld,125.0,16440000.0,FC Bayern Muenchen
Perišić,Sturm,63.0,5820000.0,FC Bayern Muenchen
Zirkzee,Sturm,24.0,2760000.0,FC Bayern Muenchen
Coman,Sturm,48.0,6950000.0,FC Bayern Muenchen
Gnabry,Sturm,153.0,15960000.0,FC Bayern Muenchen
T. Müller,Sturm,147.0,13940000.0,FC Bayern Muenchen
Dajaku,Sturm,1.0,200000.0,FC Bayern Muenchen
Lewandowski,Sturm,224.0,27110000.0,FC Bayern Muenchen
Hupe,Torwart,0.0,160000.0,Borussia Dortmund
Oelschlägel,Torwart,0.0,160000.0,Borussia Dortmund
Bürki,Torwart,25.0,1000000.0,Borussia Dortmund
Unbehaun,Torwart,0.0,160000.0,Borussia Dortmund
Hummels,Abwehr,97.0,6390000.0,Borussia Dortmund
Zagadou,Abwehr,59.0,2190000.0,Borussia Dortmund
Hakimi,Abwehr,102.0,8280000.0,Borussia Dortmund
Balerdi,Abwehr,1.0,220000.0,Borussia Dortmund
Akanji,Abwehr,49.0,1930000.0,Borussia Dortmund
Can,Abwehr,25.0,11290000.0,Borussia Dortmund
N. Schulz,Abwehr,20.0,450000.0,Borussia Dortmund
Mateu Morey,Abwehr,0.0,200000.0,Borussia Dortmund
Schmelzer,Abwehr,0.0,170000.0,Borussia Dortmund
Piszczek,Abwehr,67.0,2920000.0,Borussia Dortmund
Witsel,Mittelfeld,98.0,8380000.0,Borussia Dortmund
Raschl,Mittelfeld,0.0,170000.0,Borussia Dortmund
Dahoud,Mittelfeld,19.0,420000.0,Borussia Dortmund
Delaney,Mittelfeld,12.0,1300000.0,Borussia Dortmund
Raphaël Guerreiro,Mittelfeld,105.0,7190000.0,Borussia Dortmund
Brandt,Mittelfeld,91.0,9440000.0,Borussia Dortmund
Haaland,Sturm,65.0,24160000.0,Borussia Dortmund
Reus,Sturm,116.0,12920000.0,Borussia Dortmund
M. Götze,Sturm,36.0,840000.0,Borussia Dortmund
Sancho,Sturm,181.0,18880000.0,Borussia Dortmund
Hazard,Sturm,109.0,7660000.0,Borussia Dortmund
Schreiber,Torwart,0.0,160000.0,RB Leipzig
Gulácsi,Torwart,76.0,2780000.0,RB Leipzig
Mvogo,Torwart,-1.0,160000.0,RB Leipzig
Ampadu,Abwehr,6.0,260000.0,RB Leipzig
Mukiele,Abwehr,82.0,3420000.0,RB Leipzig
Angeliño,Abwehr,31.0,5820000.0,RB Leipzig
Konaté,Abwehr,19.0,3550000.0,RB Leipzig
Upamecano,Abwehr,96.0,3960000.0,RB Leipzig
Klostermann,Abwehr,86.0,5100000.0,RB Leipzig
Halstenberg,Abwehr,106.0,5520000.0,RB Leipzig
Orban,Abwehr,42.0,1920000.0,RB Leipzig
Laimer,Mittelfeld,61.0,2830000.0,RB Leipzig
Dani Olmo,Mittelfeld,8.0,6610000.0,RB Leipzig
Kampl,Mittelfeld,17.0,3730000.0,RB Leipzig
Nkunku,Mittelfeld,123.0,12700000.0,RB Leipzig
Krauß,Mittelfeld,0.0,200000.0,RB Leipzig
H. Wolf,Mittelfeld,1.0,450000.0,RB Leipzig
Haidara,Mittelfeld,23.0,830000.0,RB Leipzig
T. Adams,Mittelfeld,9.0,950000.0,RB Leipzig
Forsberg,Mittelfeld,77.0,4950000.0,RB Leipzig
Sabitzer,Mittelfeld,139.0,14020000.0,RB Leipzig
Ti. Werner,Sturm,194.0,18870000.0,RB Leipzig
Lookman,Sturm,3.0,270000.0,RB Leipzig
Schick,Sturm,71.0,7130000.0,RB Leipzig
Y. Poulsen,Sturm,54.0,2330000.0,RB Leipzig
Hradecky,Torwart,80.0,2580000.0,Bayer 04 Leverkusen
Lomb,Torwart,0.0,160000.0,Bayer 04 Leverkusen
Tapsoba,Abwehr,18.0,4460000.0,Bayer 04 Leverkusen
S. Bender,Abwehr,81.0,3400000.0,Bayer 04 Leverkusen
Wendell ,Abwehr,55.0,1350000.0,Bayer 04 Leverkusen
Tah,Abwehr,56.0,2050000.0,Bayer 04 Leverkusen
Sinkgraven,Abwehr,21.0,490000.0,Bayer 04 Leverkusen
L. Bender,Abwehr,70.0,2950000.0,Bayer 04 Leverkusen
M. Weiser,Abwehr,32.0,610000.0,Bayer 04 Leverkusen
Dragović,Abwehr,5.0,190000.0,Bayer 04 Leverkusen
Stanilewicz,Mittelfeld,0.0,190000.0,Bayer 04 Leverkusen
Paulinho,Mittelfeld,32.0,3490000.0,Bayer 04 Leverkusen
Palacios,Mittelfeld,11.0,3330000.0,Bayer 04 Leverkusen
Havertz,Mittelfeld,94.0,12280000.0,Bayer 04 Leverkusen
Charles Aránguiz,Mittelfeld,56.0,3460000.0,Bayer 04 Leverkusen
Amiri,Mittelfeld,81.0,4410000.0,Bayer 04 Leverkusen
Demirbay,Mittelfeld,65.0,3990000.0,Bayer 04 Leverkusen
Baumgartlinger,Mittelfeld,51.0,1010000.0,Bayer 04 Leverkusen
Bailey,Sturm,46.0,3990000.0,Bayer 04 Leverkusen
Lucas Alario,Sturm,77.0,3780000.0,Bayer 04 Leverkusen
Diaby,Sturm,72.0,5790000.0,Bayer 04 Leverkusen
Volland,Sturm,111.0,8800000.0,Bayer 04 Leverkusen
Grün,Torwart,0.0,160000.0,Borussia M'gladbach
Sippel,Torwart,0.0,160000.0,Borussia M'gladbach
Lainer,Abwehr,45.0,1500000.0,Borussia M'gladbach
Doucouré,Abwehr,0.0,180000.0,Borussia M'gladbach
Elvedi,Abwehr,90.0,3390000.0,Borussia M'gladbach
Bensebaini,Abwehr,52.0,2870000.0,Borussia M'gladbach
Ginter,Abwehr,69.0,3100000.0,Borussia M'gladbach
Wendt,Abwehr,50.0,850000.0,Borussia M'gladbach
Jantschke,Abwehr,37.0,340000.0,Borussia M'gladbach
Neuhaus,Mittelfeld,75.0,3780000.0,Borussia M'gladbach
Bennetts,Mittelfeld,0.0,180000.0,Borussia M'gladbach
Zakaria,Mittelfeld,90.0,3770000.0,Borussia M'gladbach
Traoré,Mittelfeld,0.0,190000.0,Borussia M'gladbach
Bénes,Mittelfeld,50.0,1410000.0,Borussia M'gladbach
Strobl,Mittelfeld,14.0,540000.0,Borussia M'gladbach
Johnson,Mittelfeld,6.0,180000.0,Borussia M'gladbach
Kramer,Mittelfeld,33.0,1190000.0,Borussia M'gladbach
J. Hofmann,Mittelfeld,40.0,2450000.0,Borussia M'gladbach
Thuram,Sturm,111.0,7970000.0,Borussia M'gladbach
Raffael,Sturm,8.0,260000.0,Borussia M'gladbach
Pléa,Sturm,118.0,7850000.0,Borussia M'gladbach
Müsel,Sturm,0.0,170000.0,Borussia M'gladbach
Stindl,Sturm,54.0,6810000.0,Borussia M'gladbach
P. Herrmann,Sturm,83.0,2630000.0,Borussia M'gladbach
Embolo,Sturm,68.0,3090000.0,Borussia M'gladbach
Casteels,Torwart,43.0,1300000.0,VfL Wolfsburg
Pervan,Torwart,30.0,160000.0,VfL Wolfsburg
Kasten,Torwart,0.0,160000.0,VfL Wolfsburg
Menzel,Torwart,0.0,160000.0,VfL Wolfsburg
Roussillon,Abwehr,44.0,770000.0,VfL Wolfsburg
Paulo Otávio,Abwehr,19.0,1460000.0,VfL Wolfsburg
Tisserand,Abwehr,30.0,390000.0,VfL Wolfsburg
William,Abwehr,39.0,280000.0,VfL Wolfsburg
Mbabu,Abwehr,29.0,540000.0,VfL Wolfsburg
Brooks,Abwehr,42.0,1290000.0,VfL Wolfsburg
Knoche,Abwehr,55.0,1510000.0,VfL Wolfsburg
Pongračić,Abwehr,-9.0,510000.0,VfL Wolfsburg
Arnold,Mittelfeld,111.0,6000000.0,VfL Wolfsburg
R. Steffen,Mittelfeld,63.0,2330000.0,VfL Wolfsburg
Ignacio Camacho,Mittelfeld,0.0,250000.0,VfL Wolfsburg
Schlager,Mittelfeld,41.0,1750000.0,VfL Wolfsburg
Gerhardt,Mittelfeld,28.0,720000.0,VfL Wolfsburg
Guilavogui,Mittelfeld,69.0,1160000.0,VfL Wolfsburg
Azzaoui,Mittelfeld,0.0,180000.0,VfL Wolfsburg
Joao Victor,Sturm,39.0,880000.0,VfL Wolfsburg
Weghorst,Sturm,114.0,6870000.0,VfL Wolfsburg
Ginczek,Sturm,23.0,1670000.0,VfL Wolfsburg
Brekalo,Sturm,67.0,1850000.0,VfL Wolfsburg
Mehmedi,Sturm,47.0,1210000.0,VfL Wolfsburg
Klaus,Sturm,23.0,280000.0,VfL Wolfsburg
Wiedwald,Torwart,1.0,160000.0,Eintracht Frankfurt
Trapp,Torwart,35.0,1650000.0,Eintracht Frankfurt
Rönnow,Torwart,27.0,170000.0,Eintracht Frankfurt
Russ,Abwehr,0.0,190000.0,Eintracht Frankfurt
Touré,Abwehr,50.0,930000.0,Eintracht Frankfurt
N'Dicka,Abwehr,24.0,490000.0,Eintracht Frankfurt
Hinteregger,Abwehr,101.0,4930000.0,Eintracht Frankfurt
Abraham,Abwehr,23.0,960000.0,Eintracht Frankfurt
Hasebe,Abwehr,29.0,460000.0,Eintracht Frankfurt
Chandler,Abwehr,66.0,2180000.0,Eintracht Frankfurt
de Guzmán,Mittelfeld,-1.0,170000.0,Eintracht Frankfurt
Rode,Mittelfeld,53.0,1150000.0,Eintracht Frankfurt
Lucas Torró,Mittelfeld,7.0,270000.0,Eintracht Frankfurt
Ćavar,Mittelfeld,0.0,180000.0,Eintracht Frankfurt
Çetin,Mittelfeld,0.0,170000.0,Eintracht Frankfurt
Finger,Mittelfeld,0.0,170000.0,Eintracht Frankfurt
Kamada,Mittelfeld,45.0,1700000.0,Eintracht Frankfurt
Sow,Mittelfeld,60.0,1600000.0,Eintracht Frankfurt
Ilsanker,Mittelfeld,25.0,1370000.0,Eintracht Frankfurt
da Costa,Mittelfeld,45.0,1040000.0,Eintracht Frankfurt
Gaćinović,Mittelfeld,31.0,660000.0,Eintracht Frankfurt
Kostić,Mittelfeld,132.0,9000000.0,Eintracht Frankfurt
Durm,Mittelfeld,10.0,220000.0,Eintracht Frankfurt
G. Fernandes,Mittelfeld,8.0,200000.0,Eintracht Frankfurt
Kohr,Mittelfeld,20.0,290000.0,Eintracht Frankfurt
N. Stendera,Mittelfeld,0.0,170000.0,Eintracht Frankfurt
Gonçalo Paciência,Sturm,83.0,3170000.0,Eintracht Frankfurt
Dost,Sturm,64.0,3800000.0,Eintracht Frankfurt
Plogmann,Torwart,0.0,160000.0,SV Werder Bremen
Pavlenka,Torwart,24.0,630000.0,SV Werder Bremen
Veljković,Abwehr,17.0,320000.0,SV Werder Bremen
Lang,Abwehr,11.0,170000.0,SV Werder Bremen
Gebre Selassie,Abwehr,33.0,490000.0,SV Werder Bremen
Moisander,Abwehr,28.0,600000.0,SV Werder Bremen
Friedl,Abwehr,39.0,340000.0,SV Werder Bremen
C. Groß,Abwehr,13.0,180000.0,SV Werder Bremen
Toprak,Abwehr,16.0,510000.0,SV Werder Bremen
Vogt,Abwehr,37.0,1220000.0,SV Werder Bremen
Augustinsson,Abwehr,19.0,560000.0,SV Werder Bremen
S. Langkamp,Abwehr,-1.0,170000.0,SV Werder Bremen
Möhwald,Mittelfeld,1.0,240000.0,SV Werder Bremen
M. Eggestein,Mittelfeld,38.0,1140000.0,SV Werder Bremen
Klaassen,Mittelfeld,80.0,2280000.0,SV Werder Bremen
Gruev,Mittelfeld,0.0,180000.0,SV Werder Bremen
Straudi,Mittelfeld,0.0,180000.0,SV Werder Bremen
Goller,Mittelfeld,6.0,180000.0,SV Werder Bremen
Bargfrede,Mittelfeld,13.0,330000.0,SV Werder Bremen
Şahin,Mittelfeld,50.0,900000.0,SV Werder Bremen
Ihorst,Sturm,1.0,180000.0,SV Werder Bremen
Sargent,Sturm,45.0,690000.0,SV Werder Bremen
Pizarro,Sturm,16.0,230000.0,SV Werder Bremen
Rashica,Sturm,101.0,6050000.0,SV Werder Bremen
J. Eggestein,Sturm,16.0,230000.0,SV Werder Bremen
Ōsako,Sturm,63.0,2290000.0,SV Werder Bremen
Selke,Sturm,34.0,1610000.0,SV Werder Bremen
Bittencourt,Sturm,46.0,1300000.0,SV Werder Bremen
Füllkrug,Sturm,30.0,1160000.0,SV Werder Bremen
F. Bartels,Sturm,0.0,370000.0,SV Werder Bremen
Esser,Torwart,0.0,160000.0,1899 Hoffenheim
Baumann,Torwart,56.0,1320000.0,1899 Hoffenheim
Pentke,Torwart,23.0,190000.0,1899 Hoffenheim
Lucas Ribeiro,Abwehr,8.0,340000.0,1899 Hoffenheim
Kadeřábek,Abwehr,58.0,1780000.0,1899 Hoffenheim
B. Hübner,Abwehr,62.0,2550000.0,1899 Hoffenheim
Akpoguma,Abwehr,26.0,380000.0,1899 Hoffenheim
Stafylidis,Abwehr,13.0,180000.0,1899 Hoffenheim
Bičakčić,Abwehr,38.0,350000.0,1899 Hoffenheim
Nordtveit,Abwehr,19.0,490000.0,1899 Hoffenheim
Posch,Abwehr,37.0,380000.0,1899 Hoffenheim
Baumgartner,Mittelfeld,54.0,2170000.0,1899 Hoffenheim
Skov,Mittelfeld,90.0,4600000.0,1899 Hoffenheim
Samassékou,Mittelfeld,19.0,1100000.0,1899 Hoffenheim
Geiger,Mittelfeld,33.0,590000.0,1899 Hoffenheim
Elmkies ,Mittelfeld,0.0,200000.0,1899 Hoffenheim
Grillitsch,Mittelfeld,66.0,1510000.0,1899 Hoffenheim
Zuber,Mittelfeld,10.0,370000.0,1899 Hoffenheim
Rudy,Mittelfeld,73.0,2180000.0,1899 Hoffenheim
Dabbur,Sturm,8.0,2270000.0,1899 Hoffenheim
Adamyan,Sturm,35.0,590000.0,1899 Hoffenheim
Belfodil,Sturm,6.0,370000.0,1899 Hoffenheim
Bebou,Sturm,56.0,1190000.0,1899 Hoffenheim
Bruun Larsen,Sturm,12.0,690000.0,1899 Hoffenheim
Kramarić,Sturm,74.0,6670000.0,1899 Hoffenheim
